"ratio_2d4d","grip_kg","sex"
0.9427257753,54.1866031551,"male"
0.9336376282,52.1641068556,"male"
0.9460053089,51.1510006478,"male"
0.9526542961,51.1530907662,"male"
0.9177890969,50.1437659814,"male"
0.9386282624,50.1604119695,"male"
0.9224874706,49.1495755344,"male"
0.9312451114,49.1671436674,"male"
0.9525121668,49.1825267093,"male"
0.9701592978,49.195291361,"male"
0.9828262248,48.7079881354,"male"
0.9420613003,48.1360062732,"male"
0.9371693993,46.1464626386,"male"
0.9749364738,46.1809689407,"male"
1.0001789428,46.1923386763,"male"
0.9312600661,45.14446831,"male"
0.933001497,45.1506597116,"male"
0.9367790038,45.1593102179,"male"
0.9400674469,45.1465334093,"male"
0.9453578274,45.1648865349,"male"
0.9713089161,45.1750806624,"male"
0.9762451207,45.1687875998,"male"
0.9832176444,45.1836945707,"male"
0.9316153071,44.1415391809,"male"
0.9767158153,44.1770621706,"male"
0.9150911322,43.1436227882,"male"
0.9184282407,43.1443926841,"male"
0.9367541075,43.157648284,"male"
0.9411659307,43.1679869792,"male"
0.92509686,42.156285159,"male"
0.9316579728,42.1610309911,"male"
0.912560288,41.1742252225,"male"
0.9164816567,41.0936149825,"male"
0.9390616754,41.1356448808,"male"
0.9569711103,41.160106744,"male"
0.9008463091,40.1134276177,"male"
0.9356757989,40.1317319072,"male"
0.9438842924,40.1379824635,"male"
0.956533497,40.1537076813,"male"
0.9630083237,40.1411690216,"male"
0.9751061396,40.1605660781,"male"
0.9828395771,40.1595841818,"male"
0.9902440421,40.1780914391,"male"
0.9202606116,39.107579012,"male"
0.9481566943,39.1349902833,"male"
0.958767577,39.139048788,"male"
1.0301705227,39.1798465787,"male"
0.8900688237,38.0883524826,"male"
0.9186832816,37.1245212687,"male"
0.954140943,37.1501687634,"male"
0.9837790733,37.1716068324,"male"
0.9359226045,36.1479194738,"male"
0.9619304862,36.1595841818,"male"
0.9757520154,36.1695816713,"male"
1.0138640801,36.2008023365,"male"
0.9476626436,35.1201663769,"male"
0.9454693214,35.118579887,"male"
0.9800784197,35.1541135054,"male"
1.0213871785,35.1734933461,"male"
0.9492369438,34.1231134295,"male"
0.9728696027,33.6403503389,"male"
0.9306904981,33.1115065971,"male"
1.0293123901,33.1762981146,"male"
0.939737445,32.6117213869,"male"
0.9523436265,32.1118803872,"male"
0.9200568682,31.0857318196,"male"
0.9337447979,31.111706613,"male"
0.9585391689,31.1201428213,"male"
1.0351665622,31.175283607,"male"
0.9149904771,30.084636876,"male"
0.9485330197,30.1137635948,"male"
0.9552889434,30.1166410965,"male"
0.9931033378,30.1460025229,"male"
0.9757324705,29.0776720876,"male"
0.9900952576,29.1110760434,"male"
1.0137416757,29.1051651836,"male"
0.9488121812,28.0685566391,"male"
1.0067778119,28.1104847626,"male"
0.976527918,26.0764391382,"male"
1.0086599161,26.1046128669,"male"
0.9299567631,25.0235190196,"male"
0.9423777476,25.0362610013,"male"
0.9650659712,25.0587780226,"male"
1.0054032545,25.0887379029,"male"
1.0591068835,25.1284443081,"male"
0.9559844533,23.0827861307,"male"
0.9882489072,23.0903993845,"male"
0.9261086223,21.0358596707,"male"
1.0267877672,21.1086836453,"male"
1.0168067171,20.0953815541,"male"
0.9809925521,19.0601058142,"male"
0.9494213482,14.0301577349,"male"
0.9605490437,30.1023626879,"male"
0.9603227984,30.1021990386,"male"
0.9594174082,30.0292114145,"male"
0.9603796666,40.1564897208,"male"
0.9594746855,40.1558351232,"male"
1.0107334308,38.5259273645,"female"
0.9190087146,37.0414586499,"female"
0.9493569959,37.0479704797,"female"
0.9509375,35.0258302583,"female"
0.993275463,35.0258302583,"female"
0.9949074074,34.0221402214,"female"
0.9299768519,31.0332103321,"female"
0.9735294118,31.0332103321,"female"
0.9356995885,30.036900369,"female"
0.9393518519,30.036900369,"female"
0.9758101852,30.036900369,"female"
0.9859953704,30.036900369,"female"
0.9899305556,30.036900369,"female"
0.9258101852,29.499794998,"female"
1.0225389864,29.4989318314,"female"
0.9067460317,28.9808469513,"female"
0.9447916667,28.9831898319,"female"
0.977662037,28.9831898319,"female"
1.0127199074,28.9741697417,"female"
0.9435185185,27.9827798278,"female"
0.9998842593,27.9704797048,"female"
0.9552266082,26.9819382404,"female"
0.9910365226,26.9823698237,"female"
0.9404651675,26.4645932174,"female"
0.9878472222,26.4739647396,"female"
0.9874099794,25.9983599836,"female"
0.946144943,25.9608288391,"female"
0.9928755144,25.9778597786,"female"
0.9655092593,24.9815498155,"female"
0.9701388889,24.9815498155,"female"
0.9757897603,24.9902322553,"female"
0.9932355967,24.9774497745,"female"
1.0101851852,24.9815498155,"female"
1.0262061404,24.9815498155,"female"
0.9154113248,23.9426625035,"female"
0.9247337963,23.9704797048,"female"
0.9339395944,23.983482692,"female"
0.9437987329,23.9832977277,"female"
0.9643518519,23.9852398524,"female"
0.9998713992,23.9852398524,"female"
1.0032407407,23.9852398524,"female"
1.031457115,23.9794134783,"female"
0.9597709552,22.9889298893,"female"
0.9719420078,22.9889298893,"female"
0.9780579922,22.9889298893,"female"
0.9965765107,22.9889298893,"female"
1.0138401559,22.9889298893,"female"
0.9383442266,22.4723247232,"female"
0.9548076923,21.9784274766,"female"
0.9207892416,21.9662625198,"female"
0.9276924951,21.9712565547,"female"
0.9578493266,21.9624287152,"female"
0.9652083333,21.963099631,"female"
1.0341435185,21.9721197212,"female"
1.0418981481,21.9634880559,"female"
1.0730324074,21.9721197212,"female"
0.9215718695,20.9892813214,"female"
0.9537268519,20.9926199262,"female"
0.9720138889,20.9926199262,"female"
0.9841617934,20.9885414644,"female"
0.9547619048,19.9771569144,"female"
0.9598842593,19.9741697417,"female"
0.9644161523,19.971299713,"female"
0.9665509259,19.983227105,"female"
0.9698302469,19.9723247232,"female"
0.9870949074,19.9815498155,"female"
0.9949074074,19.9708681297,"female"
1.0102430556,19.9815498155,"female"
1.0199845679,19.963099631,"female"
1.0249634503,19.9747523791,"female"
