city;population.2019
New York city, New York;8336817
Los Angeles city, California;3979576
Chicago city, Illinois;2693976
Houston city, Texas;2320268
Phoenix city, Arizona;1680992
Philadelphia city, Pennsylvania;1584064
San Antonio city, Texas;1547253
San Diego city, California;1423851
Dallas city, Texas;1343573
San Jose city, California;1021795
Austin city, Texas;978908
Jacksonville city, Florida;911507
Fort Worth city, Texas;909585
Columbus city, Ohio;898553
Charlotte city, North Carolina;885708
San Francisco city, California;881549
Indianapolis city (balance), Indiana;876384
Seattle city, Washington;753675
Denver city, Colorado;727211
Washington city, District of Columbia;705749
Boston city, Massachusetts;692600
El Paso city, Texas;681728
Nashville-Davidson, Tennessee;670820
Detroit city, Michigan;670031
Oklahoma City city, Oklahoma;655057
Portland city, Oregon;654741
Las Vegas city, Nevada;651319
Memphis city, Tennessee;651073
Louisville/Jefferson County, Kentucky;617638
Baltimore city, Maryland;593490
Milwaukee city, Wisconsin;590157
Albuquerque city, New Mexico;560513
Tucson city, Arizona;548073
Fresno city, California;531576
Mesa city, Arizona;518012
Sacramento city, California;513624
Atlanta city, Georgia;506811
Kansas City city, Missouri;495327
Colorado Springs city, Colorado;478221
Omaha city, Nebraska;478192
Raleigh city, North Carolina;474069
Miami city, Florida;467963
Long Beach city, California;462628
Virginia Beach city, Virginia;449974
Oakland city, California;433031
Minneapolis city, Minnesota;429606
Tulsa city, Oklahoma;401190
Tampa city, Florida;399700
Arlington city, Texas;398854
New Orleans city, Louisiana;390144
Wichita city, Kansas;389938
Bakersfield city, California;384145
Cleveland city, Ohio;381009
Aurora city, Colorado;379289
Anaheim city, California;350365
Urban Honolulu CDP, Hawaii;345064
Santa Ana city, California;332318
Riverside city, California;331360
Corpus Christi city, Texas;326586
Lexington-Fayette urban county, Kentucky;323152
Henderson city, Nevada;320189
Stockton city, California;312697
St. Paul city, Minnesota;308096
Cincinnati city, Ohio;303940
St. Louis city, Missouri;300576
Pittsburgh city, Pennsylvania;300286
Greensboro city, North Carolina;296710
Lincoln city, Nebraska;289102
Anchorage municipality, Alaska;288000
Plano city, Texas;287677
Orlando city, Florida;287442
Irvine city, California;287401
Newark city, New Jersey;282011
Durham city, North Carolina;278993
Chula Vista city, California;274492
Toledo city, Ohio;272779
Fort Wayne city, Indiana;270402
St. Petersburg city, Florida;265351
Laredo city, Texas;262491
Jersey City city, New Jersey;262075
Chandler city, Arizona;261165
Madison city, Wisconsin;259680
Lubbock city, Texas;258862
Scottsdale city, Arizona;258069
Reno city, Nevada;255601
Buffalo city, New York;255284
Gilbert town, Arizona;254114
Glendale city, Arizona;252381
North Las Vegas city, Nevada;251974
Winston-Salem city, North Carolina;247945
Chesapeake city, Virginia;244835
Norfolk city, Virginia;242742
Fremont city, California;241110
Garland city, Texas;239928
Irving city, Texas;239798
Hialeah city, Florida;233339
Richmond city, Virginia;230436
Boise City city, Idaho;228959
Spokane city, Washington;222081
Baton Rouge city, Louisiana;220236
Tacoma city, Washington;217827
San Bernardino city, California;215784
Modesto city, California;215196
Fontana city, California;214547
Des Moines city, Iowa;214237
Moreno Valley city, California;213055
Santa Clarita city, California;212979
Fayetteville city, North Carolina;211657
Birmingham city, Alabama;209403
Oxnard city, California;208881
Rochester city, New York;205695
Port St. Lucie city, Florida;201846
Grand Rapids city, Michigan;201013
Huntsville city, Alabama;200574
Salt Lake City city, Utah;200567
Frisco city, Texas;200490
Yonkers city, New York;200370
Amarillo city, Texas;199371
Glendale city, California;199303
Huntington Beach city, California;199223
McKinney city, Texas;199177
Montgomery city, Alabama;198525
Augusta-Richmond County, Georgia;197888
Aurora city, Illinois;197757
Akron city, Ohio;197597
Little Rock city, Arkansas;197312
Tempe city, Arizona;195805
Columbus city, Georgia;195769
Overland Park city, Kansas;195494
Grand Prairie city, Texas;194543
Tallahassee city, Florida;194500
Cape Coral city, Florida;194495
Mobile city, Alabama;188720
Knoxville city, Tennessee;187603
Shreveport city, Louisiana;187112
Worcester city, Massachusetts;185428
Ontario city, California;185010
Vancouver city, Washington;184463
Sioux Falls city, South Dakota;183793
Chattanooga city, Tennessee;182799
Brownsville city, Texas;182781
Fort Lauderdale city, Florida;182437
Providence city, Rhode Island;179883
Newport News city, Virginia;179225
Rancho Cucamonga city, California;177603
Santa Rosa city, California;176753
Peoria city, Arizona;175961
Oceanside city, California;175742
Elk Grove city, California;174775
Salem city, Oregon;174365
Pembroke Pines city, Florida;173591
Eugene city, Oregon;172622
Garden Grove city, California;171644
Cary town, North Carolina;170282
Fort Collins city, Colorado;170243
Corona city, California;169868
Springfield city, Missouri;167882
Jackson city, Mississippi;160628
Alexandria city, Virginia;159428
Hayward city, California;159203
Clarksville city, Tennessee;158146
Lakewood city, Colorado;157935
Lancaster city, California;157601
Salinas city, California;155465
Palmdale city, California;155079
Hollywood city, Florida;154817
Springfield city, Massachusetts;153606
Macon-Bibb County, Georgia;153159
Kansas City city, Kansas;152960
Sunnyvale city, California;152703
Pomona city, California;151691
Killeen city, Texas;151666
Escondido city, California;151625
Pasadena city, Texas;151227
Naperville city, Illinois;148449
Bellevue city, Washington;148164
Joliet city, Illinois;147344
Murfreesboro city, Tennessee;146900
Midland city, Texas;146038
Rockford city, Illinois;145609
Paterson city, New Jersey;145233
Savannah city, Georgia;144464
Bridgeport city, Connecticut;144399
Torrance city, California;143592
McAllen city, Texas;143268
Syracuse city, New York;142327
Surprise city, Arizona;141664
Denton city, Texas;141541
Roseville city, California;141500
Thornton city, Colorado;141464
Miramar city, Florida;141191
Pasadena city, California;141029
Mesquite city, Texas;140937
Olathe city, Kansas;140545
Dayton city, Ohio;140407
Carrollton city, Texas;139248
Waco city, Texas;139236
Orange city, California;138669
Fullerton city, California;138632
Charleston city, South Carolina;137566
West Valley City city, Utah;135248
Visalia city, California;134605
Hampton city, Virginia;134510
Gainesville city, Florida;133997
Warren city, Michigan;133943
Coral Springs city, Florida;133759
Cedar Rapids city, Iowa;133562
Round Rock city, Texas;133372
Sterling Heights city, Michigan;132438
Kent city, Washington;132319
Columbia city, South Carolina;131674
Santa Clara city, California;130365
New Haven city, Connecticut;130250
Stamford city, Connecticut;129638
Concord city, California;129295
Elizabeth city, New Jersey;129216
Athens-Clarke County, Georgia;126913
Thousand Oaks city, California;126813
Lafayette city, Louisiana;126185
Simi Valley city, California;125613
Topeka city, Kansas;125310
Norman city, Oklahoma;124880
Fargo city, North Dakota;124662
Wilmington city, North Carolina;123744
Abilene city, Texas;123420
Odessa city, Texas;123334
Columbia city, Missouri;123195
Pearland city, Texas;122460
Victorville city, California;122385
Hartford city, Connecticut;122105
Vallejo city, California;121692
Allentown city, Pennsylvania;121442
Berkeley city, California;121363
Richardson city, Texas;121323
Arvada city, Colorado;121272
Ann Arbor city, Michigan;119980
Rochester city, Minnesota;118935
Cambridge city, Massachusetts;118927
Sugar Land city, Texas;118488
Lansing city, Michigan;118210
Evansville city, Indiana;117979
College Station city, Texas;117911
Fairfield city, California;117133
Clearwater city, Florida;116946
Beaumont city, Texas;116825
Independence city, Missouri;116672
Provo city, Utah;116618
West Jordan city, Utah;116480
Murrieta city, California;116223
Palm Bay city, Florida;115552
El Monte city, California;115487
Carlsbad city, California;115382
North Charleston city, South Carolina;115382
Temecula city, California;114761
Clovis city, California;114584
Springfield city, Illinois;114230
Meridian city, Idaho;114161
Westminster city, Colorado;113166
Costa Mesa city, California;113003
High Point city, North Carolina;112791
Manchester city, New Hampshire;112673
Pueblo city, Colorado;112361
