Date,Price
2012-10-15,3.819
2012-10-08,3.85
2012-10-01,3.804
2012-09-24,3.826
2012-09-17,3.878
2012-09-10,3.847
2012-09-03,3.843
2012-08-27,3.776
2012-08-20,3.744
2012-08-13,3.721
2012-08-06,3.645
2012-07-30,3.508
2012-07-23,3.494
2012-07-16,3.427
2012-07-09,3.411
2012-07-02,3.356
2012-06-25,3.437
2012-06-18,3.533
2012-06-11,3.572
2012-06-04,3.613
2012-05-28,3.67
2012-05-21,3.715
2012-05-14,3.754
2012-05-07,3.79
2012-04-30,3.83
2012-04-23,3.87
2012-04-16,3.922
2012-04-09,3.939
2012-04-02,3.941
2012-03-26,3.918
2012-03-19,3.867
2012-03-12,3.829
2012-03-05,3.793
2012-02-27,3.721
2012-02-20,3.591
2012-02-13,3.523
2012-02-06,3.482
2012-01-30,3.439
2012-01-23,3.389
2012-01-16,3.391
2012-01-09,3.382
2012-01-02,3.299
2011-12-26,3.258
2011-12-19,3.229
2011-12-12,3.286
2011-12-05,3.29
2011-11-28,3.307
2011-11-21,3.368
2011-11-14,3.436
2011-11-07,3.424
2011-10-31,3.452
2011-10-24,3.462
2011-10-17,3.476
2011-10-10,3.417
2011-10-03,3.433
2011-09-26,3.509
2011-09-19,3.601
2011-09-12,3.661
2011-09-05,3.674
2011-08-29,3.627
2011-08-22,3.581
2011-08-15,3.604
2011-08-08,3.674
2011-08-01,3.711
2011-07-25,3.699
2011-07-18,3.682
2011-07-11,3.641
2011-07-04,3.579
2011-06-27,3.574
2011-06-20,3.652
2011-06-13,3.713
2011-06-06,3.781
2011-05-30,3.794
2011-05-23,3.849
2011-05-16,3.96
2011-05-09,3.965
2011-05-02,3.963
2011-04-25,3.879
2011-04-18,3.844
2011-04-11,3.791
2011-04-04,3.684
2011-03-28,3.596
2011-03-21,3.562
2011-03-14,3.567
2011-03-07,3.52
2011-02-28,3.383
2011-02-21,3.189
2011-02-14,3.14
2011-02-07,3.132
2011-01-31,3.101
2011-01-24,3.11
2011-01-17,3.104
2011-01-10,3.089
2011-01-03,3.07
2010-12-27,3.052
2010-12-20,2.982
2010-12-13,2.98
2010-12-06,2.958
2010-11-29,2.856
2010-11-22,2.876
2010-11-15,2.892
2010-11-08,2.865
2010-11-01,2.806
2010-10-25,2.817
2010-10-18,2.834
2010-10-11,2.819
2010-10-04,2.732
2010-09-27,2.694
2010-09-20,2.723
2010-09-13,2.721
2010-09-06,2.682
2010-08-30,2.682
2010-08-23,2.704
2010-08-16,2.745
2010-08-09,2.783
2010-08-02,2.735
2010-07-26,2.749
2010-07-19,2.722
2010-07-12,2.718
2010-07-05,2.726
2010-06-28,2.757
2010-06-21,2.743
2010-06-14,2.701
2010-06-07,2.725
2010-05-31,2.728
2010-05-24,2.786
2010-05-17,2.864
2010-05-10,2.905
2010-05-03,2.898
2010-04-26,2.849
2010-04-19,2.86
2010-04-12,2.858
2010-04-05,2.826
2010-03-29,2.798
2010-03-22,2.819
2010-03-15,2.788
2010-03-08,2.751
2010-03-01,2.702
2010-02-22,2.655
2010-02-15,2.608
2010-02-08,2.652
2010-02-01,2.661
2010-01-25,2.705
2010-01-18,2.739
2010-01-11,2.751
2010-01-04,2.665
2009-12-28,2.607
2009-12-21,2.589
2009-12-14,2.599
2009-12-07,2.634
2009-11-30,2.629
2009-11-23,2.639
2009-11-16,2.629
2009-11-09,2.666
2009-11-02,2.694
2009-10-26,2.674
2009-10-19,2.574
2009-10-12,2.489
2009-10-05,2.468
2009-09-28,2.499
2009-09-21,2.552
2009-09-14,2.577
2009-09-07,2.588
2009-08-31,2.613
2009-08-24,2.628
2009-08-17,2.637
2009-08-10,2.647
2009-08-03,2.557
2009-07-27,2.503
2009-07-20,2.463
2009-07-13,2.528
2009-07-06,2.612
2009-06-29,2.642
2009-06-22,2.691
2009-06-15,2.672
2009-06-08,2.624
2009-06-01,2.524
2009-05-25,2.435
2009-05-18,2.309
2009-05-11,2.24
2009-05-04,2.078
2009-04-27,2.049
2009-04-20,2.059
2009-04-13,2.051
2009-04-06,2.037
2009-03-30,2.046
2009-03-23,1.962
2009-03-16,1.91
2009-03-09,1.941
2009-03-02,1.934
2009-02-23,1.909
2009-02-16,1.964
2009-02-09,1.926
2009-02-02,1.892
2009-01-26,1.838
2009-01-19,1.847
2009-01-12,1.784
2009-01-05,1.684
2008-12-29,1.613
2008-12-22,1.653
2008-12-15,1.659
2008-12-08,1.699
2008-12-01,1.811
2008-11-24,1.892
2008-11-17,2.072
2008-11-10,2.224
2008-11-03,2.4
2008-10-27,2.656
2008-10-20,2.914
2008-10-13,3.151
2008-10-06,3.484
2008-09-29,3.632
2008-09-22,3.718
2008-09-15,3.835
2008-09-08,3.648
2008-09-01,3.68
2008-08-25,3.685
2008-08-18,3.74
2008-08-11,3.809
2008-08-04,3.88
2008-07-28,3.955
2008-07-21,4.064
2008-07-14,4.113
2008-07-07,4.114
2008-06-30,4.095
2008-06-23,4.079
2008-06-16,4.082
2008-06-09,4.039
2008-06-02,3.976
2008-05-26,3.937
2008-05-19,3.791
2008-05-12,3.722
2008-05-05,3.613
2008-04-28,3.603
2008-04-21,3.508
2008-04-14,3.389
2008-04-07,3.332
2008-03-31,3.29
2008-03-24,3.259
2008-03-17,3.284
2008-03-10,3.225
2008-03-03,3.162
2008-02-25,3.13
2008-02-18,3.042
2008-02-11,2.96
2008-02-04,2.978
2008-01-28,2.977
2008-01-21,3.017
2008-01-14,3.068
2008-01-07,3.109
2007-12-31,3.053
2007-12-24,2.98
2007-12-17,2.998
2007-12-10,3.0
2007-12-03,3.061
2007-11-26,3.097
2007-11-19,3.099
2007-11-12,3.111
2007-11-05,3.013
2007-10-29,2.872
2007-10-22,2.823
2007-10-15,2.762
2007-10-08,2.77
2007-10-01,2.788
2007-09-24,2.812
2007-09-17,2.787
2007-09-10,2.818
2007-09-03,2.796
2007-08-27,2.749
2007-08-20,2.785
2007-08-13,2.771
2007-08-06,2.838
2007-07-30,2.876
