DISTRITO_ILHA_COD,NUTSI_DSG,DISTRITO_ILHA_DSG,AREA_2014(HA)
01,CONTINENTE,AVEIRO,280094.2
02,CONTINENTE,BEJA,1026332.5
03,CONTINENTE,BRAGA,270610.5
04,CONTINENTE,BRAGANÇA,659855.1
05,CONTINENTE,CASTELO BRANCO,662747.3
06,CONTINENTE,COIMBRA,397373.3
07,CONTINENTE,ÉVORA,739346.4
08,CONTINENTE,FARO,499679.5
09,CONTINENTE,GUARDA,553530.8
10,CONTINENTE,LEIRIA,350578.1
11,CONTINENTE,LISBOA,281613.6
12,CONTINENTE,PORTALEGRE,608433.6
13,CONTINENTE,PORTO,233169.7
14,CONTINENTE,SANTARÉM,671835.3
15,CONTINENTE,SETÚBAL,521405.9
16,CONTINENTE,VIANA DO CASTELO,221884.2
17,CONTINENTE,VILA REAL,430747.1
18,CONTINENTE,VISEU,500978.7
31,REGIÃO AUTÓNOMA DA MADEIRA,ILHA DA MADEIRA (MADEIRA),75850.9
32,REGIÃO AUTÓNOMA DA MADEIRA,ILHA DE PORTO SANTO (MADEIRA),4300.8
41,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DE SANTA MARIA (AÇORES),9688.7
42,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DE SÃO MIGUEL (AÇORES),74457.5
43,REGIÃO AUTÓNOMA DOS AÇORES,ILHA TERCEIRA (AÇORES),40026.7
44,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DA GRACIOSA (AÇORES),6065.8
45,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DE SÃO JORGE (AÇORES),24364.8
46,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DO PICO (AÇORES),44479.5
47,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DO FAIAL (AÇORES),17305.5
48,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DAS FLORES (AÇORES),14096.2
49,REGIÃO AUTÓNOMA DOS AÇORES,ILHA DO CORVO (AÇORES),1711.5
