MUNICIPIO_COD;NUTSI_DSG;NUTSII_DSG;NUTSIII_DSG;DISTRITO_ILHA_DSG;MUNICIPIO_DSG;AREA_2014(Ha);ALTITUDE_MAX(M);ALTITUDE_MIN(M)
0101;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;ÁGUEDA;33527.44;758;4
0102;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;ALBERGARIA-A-VELHA;15882.5;425;0
0103;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;ANADIA;21663.48;525;13
0104;CONTINENTE;NORTE;ENTRE DOURO E VOUGA;AVEIRO;AROUCA;32910.52;1220;50
0105;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;AVEIRO;19757.57;78;0
0106;CONTINENTE;NORTE;TÂMEGA;AVEIRO;CASTELO DE PAIVA;11500.53;690;25
0107;CONTINENTE;NORTE;GRANDE PORTO;AVEIRO;ESPINHO;2105.68;100;0
0108;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;ESTARREJA;10817.33;129;0
0109;CONTINENTE;NORTE;ENTRE DOURO E VOUGA;AVEIRO;SANTA MARIA DA FEIRA;21587.65;450;25
0110;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;ÍLHAVO;7347.55;61;0
0111;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;MEALHADA;11065.66;567;25
0112;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;MURTOSA;7308.78;17;0
0113;CONTINENTE;NORTE;ENTRE DOURO E VOUGA;AVEIRO;OLIVEIRA DE AZEMÉIS;16110.41;644;25
0114;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;OLIVEIRA DO BAIRRO;8731.99;78;5
0115;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;OVAR;14770.25;229;0
0116;CONTINENTE;NORTE;ENTRE DOURO E VOUGA;AVEIRO;SÃO JOÃO DA MADEIRA;794.3;276;150
0117;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;SEVER DO VOUGA;12987.56;841;25
0118;CONTINENTE;CENTRO;BAIXO VOUGA;AVEIRO;VAGOS;16491.5;68;0
0119;CONTINENTE;NORTE;ENTRE DOURO E VOUGA;AVEIRO;VALE DE CAMBRA;14733.47;1043;75
0201;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;ALJUSTREL;45847.41;257;63
0202;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;ALMODÔVAR;77788.03;577;150
0203;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;ALVITO;26485.32;314;100
0204;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;BARRANCOS;16841.73;407;125
0205;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;BEJA;114643.67;278;25
0206;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;CASTRO VERDE;56944.23;286;125
0207;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;CUBA;17208.72;307;150
0208;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;FERREIRA DO ALENTEJO;64824.56;276;24
0209;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;MÉRTOLA;129287.34;367;25
0210;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;MOURA;95845.55;582;75
0211;CONTINENTE;ALENTEJO;ALENTEJO LITORAL;BEJA;ODEMIRA;172060.15;511;0
0212;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;OURIQUE;66331.36;375;66
0213;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;SERPA;110563.34;520;25
0214;CONTINENTE;ALENTEJO;BAIXO ALENTEJO;BEJA;VIDIGUEIRA;31661.09;410;75
0301;CONTINENTE;NORTE;CÁVADO;BRAGA;AMARES;8195.41;901;24
0302;CONTINENTE;NORTE;CÁVADO;BRAGA;BARCELOS;37890.14;488;9
0303;CONTINENTE;NORTE;CÁVADO;BRAGA;BRAGA;18339.95;572;22
0304;CONTINENTE;NORTE;TÂMEGA;BRAGA;CABECEIRAS DE BASTO;24182.16;1200;150
0305;CONTINENTE;NORTE;TÂMEGA;BRAGA;CELORICO DE BASTO;18107.02;851;75
0306;CONTINENTE;NORTE;CÁVADO;BRAGA;ESPOSENDE;9540.98;281;0
0307;CONTINENTE;NORTE;AVE;BRAGA;FAFE;21908.11;892;175
0308;CONTINENTE;NORTE;AVE;BRAGA;GUIMARÃES;24095.45;611;84
0309;CONTINENTE;NORTE;AVE;BRAGA;PÓVOA DE LANHOSO;13465.29;737;50
0310;CONTINENTE;NORTE;CÁVADO;BRAGA;TERRAS DE BOURO;27746.07;1527;75
0311;CONTINENTE;NORTE;AVE;BRAGA;VIEIRA DO MINHO;21644.35;1261;75
0312;CONTINENTE;NORTE;AVE;BRAGA;VILA NOVA DE FAMALICÃO;20159.26;457;25
0313;CONTINENTE;NORTE;CÁVADO;BRAGA;VILA VERDE;22866.52;788;21
0314;CONTINENTE;NORTE;AVE;BRAGA;VIZELA;2469.83;476;125
0401;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;ALFÂNDEGA DA FÉ;32194.64;1196;150
0402;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;BRAGANÇA;117357.27;1487;325
0403;CONTINENTE;NORTE;DOURO;BRAGANÇA;CARRAZEDA DE ANSIÃES;27924.09;895;75
0404;CONTINENTE;NORTE;DOURO;BRAGANÇA;FREIXO DE ESPADA À CINTA;24414.29;884;124
0405;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;MACEDO DE CAVALEIROS;69914.08;1258;225
0406;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;MIRANDA DO DOURO;48718.31;908;400
0407;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;MIRANDELA;65895.67;938;175
0408;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;MOGADOURO;76064.93;996;150
0409;CONTINENTE;NORTE;DOURO;BRAGANÇA;TORRE DE MONCORVO;53155.67;917;100
0410;CONTINENTE;NORTE;DOURO;BRAGANÇA;VILA FLOR;26581.14;834;123
0411;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;VIMIOSO;48158.51;951;250
0412;CONTINENTE;NORTE;ALTO TRÁS-OS-MONTES;BRAGANÇA;VINHAIS;69476.43;1271;275
0501;CONTINENTE;CENTRO;COVA DA BEIRA;CASTELO BRANCO;BELMONTE;11875.91;888;443
0502;CONTINENTE;CENTRO;BEIRA INTERIOR SUL;CASTELO BRANCO;CASTELO BRANCO;143819.15;1222;121
0503;CONTINENTE;CENTRO;COVA DA BEIRA;CASTELO BRANCO;COVILHÃ;55560.06;1993;375
0504;CONTINENTE;CENTRO;COVA DA BEIRA;CASTELO BRANCO;FUNDÃO;70019.79;1226;275
0505;CONTINENTE;CENTRO;BEIRA INTERIOR SUL;CASTELO BRANCO;IDANHA-A-NOVA;141633.51;826;125
0506;CONTINENTE;CENTRO;PINHAL INTERIOR SUL;CASTELO BRANCO;OLEIROS;47109.31;1082;250
0507;CONTINENTE;CENTRO;BEIRA INTERIOR SUL;CASTELO BRANCO;PENAMACOR;56370.69;1078;300
0508;CONTINENTE;CENTRO;PINHAL INTERIOR SUL;CASTELO BRANCO;PROENÇA-A-NOVA;39539.96;953;125
0509;CONTINENTE;CENTRO;PINHAL INTERIOR SUL;CASTELO BRANCO;SERTÃ;44673.17;1082;125
0510;CONTINENTE;CENTRO;PINHAL INTERIOR SUL;CASTELO BRANCO;VILA DE REI;19154.6;594;125
0511;CONTINENTE;CENTRO;BEIRA INTERIOR SUL;CASTELO BRANCO;VILA VELHA DE RÓDÃO;32991.16;566;50
0601;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;ARGANIL;33283.93;1408;75
0602;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;CANTANHEDE;39088.02;136;0
0603;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;COIMBRA;31939.94;499;9
0604;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;CONDEIXA-A-NOVA;13867.47;465;12
0605;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;FIGUEIRA DA FOZ;37905.26;256;0
0606;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;GÓIS;26330.19;1201;150
0607;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;LOUSÃ;13840.01;1204;75
0608;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;MIRA;12403.38;64;0
0609;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;MIRANDA DO CORVO;12637.79;938;50
0610;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;MONTEMOR-O-VELHO;22896.23;125;2
0611;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;OLIVEIRA DO HOSPITAL;23451.66;1243;150
0612;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;PAMPILHOSA DA SERRA;39646.24;1415;300
0613;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;PENACOVA;21673.23;550;36
0614;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;PENELA;13480;872;150
0615;CONTINENTE;CENTRO;BAIXO MONDEGO;COIMBRA;SOURE;26506.07;531;6
0616;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;TÁBUA;19978.58;517;143
0617;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;COIMBRA;VILA NOVA DE POIARES;8445.3;456;43
0701;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;ALANDROAL;54267.81;414;112
0702;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;ARRAIOLOS;68374.55;410;150
0703;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;BORBA;14518.65;550;250
0704;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;ESTREMOZ;51379.95;653;206
0705;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;ÉVORA;130707.58;441;150
0706;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;MONTEMOR-O-NOVO;123296.65;423;25
0707;CONTINENTE;ALENTEJO;ALTO ALENTEJO;ÉVORA;MORA;44395.02;206;38
0708;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;MOURÃO;27862.98;284;100
0709;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;PORTEL;60100.57;421;100
0710;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;REDONDO;36950.87;652;188
0711;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;REGUENGOS DE MONSARAZ;46399.72;363;100
0712;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;VENDAS NOVAS;22238.88;189;25
0713;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;VIANA DO ALENTEJO;39367.29;372;73
0714;CONTINENTE;ALENTEJO;ALENTEJO CENTRAL;ÉVORA;VILA VIÇOSA;19485.89;473;167
0801;CONTINENTE;ALGARVE;ALGARVE;FARO;ALBUFEIRA;14066.42;226;0
0802;CONTINENTE;ALGARVE;ALGARVE;FARO;ALCOUTIM;57536.33;400;25
0803;CONTINENTE;ALGARVE;ALGARVE;FARO;ALJEZUR;32349.95;356;0
0804;CONTINENTE;ALGARVE;ALGARVE;FARO;CASTRO MARIM;30084.37;274;0
0805;CONTINENTE;ALGARVE;ALGARVE;FARO;FARO;20256.79;400;0
0806;CONTINENTE;ALGARVE;ALGARVE;FARO;LAGOA;8825.45;102;0
0807;CONTINENTE;ALGARVE;ALGARVE;FARO;LAGOS;21299.27;255;0
0808;CONTINENTE;ALGARVE;ALGARVE;FARO;LOULÉ;76366.91;588;0
0809;CONTINENTE;ALGARVE;ALGARVE;FARO;MONCHIQUE;39530.43;902;25
0810;CONTINENTE;ALGARVE;ALGARVE;FARO;OLHÃO;13086.38;408;0
0811;CONTINENTE;ALGARVE;ALGARVE;FARO;PORTIMÃO;18206.29;325;0
0812;CONTINENTE;ALGARVE;ALGARVE;FARO;SÃO BRÁS DE ALPORTEL;15336.92;529;125
0813;CONTINENTE;ALGARVE;ALGARVE;FARO;SILVES;68006.23;426;0
0814;CONTINENTE;ALGARVE;ALGARVE;FARO;TAVIRA;60696.7;539;0
0815;CONTINENTE;ALGARVE;ALGARVE;FARO;VILA DO BISPO;17906.06;156;0
0816;CONTINENTE;ALGARVE;ALGARVE;FARO;VILA REAL DE SANTO ANTÓNIO;6125;225;0
0901;CONTINENTE;CENTRO;DÃO-LAFÕES;GUARDA;AGUIAR DA BEIRA;20676.57;988;450
0902;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;ALMEIDA;51798.46;844;500
0903;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;CELORICO DA BEIRA;24721.63;1255;375
0904;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;FIGUEIRA DE CASTELO RODRIGO;50857.46;976;125
0905;CONTINENTE;CENTRO;SERRA DA ESTRELA;GUARDA;FORNOS DE ALGODRES;13145.05;913;325
0906;CONTINENTE;CENTRO;SERRA DA ESTRELA;GUARDA;GOUVEIA;30061.17;1619;250
0907;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;GUARDA;71209.58;1286;442
0908;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;MANTEIGAS;12197.55;1993;519
0909;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;MÊDA;28604.92;944;225
0910;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;PINHEL;48452.12;925;150
0911;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;SABUGAL;82269.82;1215;450
0912;CONTINENTE;CENTRO;SERRA DA ESTRELA;GUARDA;SEIA;43568.83;1993;175
0913;CONTINENTE;CENTRO;BEIRA INTERIOR NORTE;GUARDA;TRANCOSO;36152.47;982;425
0914;CONTINENTE;NORTE;DOURO;GUARDA;VILA NOVA DE FOZ CÔA;39815.18;813;84
1001;CONTINENTE;CENTRO;OESTE;LEIRIA;ALCOBAÇA;40814.09;509;0
1002;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;LEIRIA;ALVAIÁZERE;16047.76;617;97
1003;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;LEIRIA;ANSIÃO;17609.42;532;175
1004;CONTINENTE;CENTRO;PINHAL LITORAL;LEIRIA;BATALHA;10341.6;521;50
1005;CONTINENTE;CENTRO;OESTE;LEIRIA;BOMBARRAL;9128.55;204;11
1006;CONTINENTE;CENTRO;OESTE;LEIRIA;CALDAS DA RAINHA;25569.47;255;0
1007;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;LEIRIA;CASTANHEIRA DE PÊRA;6677.45;1203;350
1008;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;LEIRIA;FIGUEIRÓ DOS VINHOS;17344;1006;125
1009;CONTINENTE;CENTRO;PINHAL LITORAL;LEIRIA;LEIRIA;56508.83;404;0
1010;CONTINENTE;CENTRO;PINHAL LITORAL;LEIRIA;MARINHA GRANDE;18725.19;165;0
1011;CONTINENTE;CENTRO;OESTE;LEIRIA;NAZARÉ;8243.43;177;0
1012;CONTINENTE;CENTRO;OESTE;LEIRIA;ÓBIDOS;14155.44;221;0
1013;CONTINENTE;CENTRO;PINHAL INTERIOR NORTE;LEIRIA;PEDRÓGÃO GRANDE;12874.75;778;150
1014;CONTINENTE;CENTRO;OESTE;LEIRIA;PENICHE;7754.98;165;0
1015;CONTINENTE;CENTRO;PINHAL LITORAL;LEIRIA;POMBAL;62600.28;559;0
1016;CONTINENTE;CENTRO;PINHAL LITORAL;LEIRIA;PORTO DE MÓS;26182.85;615;50
1101;CONTINENTE;CENTRO;OESTE;LISBOA;ALENQUER;30421.92;664;2
1102;CONTINENTE;CENTRO;OESTE;LISBOA;ARRUDA DOS VINHOS;7795.93;393;45
1103;CONTINENTE;ALENTEJO;LEZÍRIA DO TEJO;LISBOA;AZAMBUJA;26265.65;193;2
1104;CONTINENTE;CENTRO;OESTE;LISBOA;CADAVAL;17489.3;662;46
1105;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;CASCAIS;9740.17;475;0
1106;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;LISBOA;10005.43;227;0
1107;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;LOURES;16723.99;407;0
1108;CONTINENTE;CENTRO;OESTE;LISBOA;LOURINHÃ;14717.2;201;0
1109;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;MAFRA;29165.5;431;0
1110;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;OEIRAS;4588.31;199;0
1111;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;SINTRA;31922.73;528;0
1112;CONTINENTE;CENTRO;OESTE;LISBOA;SOBRAL DE MONTE AGRAÇO;5210.32;440;125
1113;CONTINENTE;CENTRO;OESTE;LISBOA;TORRES VEDRAS;40714.89;390;0
1114;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;VILA FRANCA DE XIRA;31819.39;377;0
1115;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;AMADORA;2378.47;257;50
1116;CONTINENTE;LISBOA;GRANDE LISBOA;LISBOA;ODIVELAS;2654.36;338;25
1201;CONTINENTE;ALENTEJO;ALTO ALENTEJO;PORTALEGRE;ALTER DO CHÃO;36206.62;410;147
1202;CONTINENTE;ALENTEJO;ALTO ALENTEJO;PORTALEGRE;ARRONCHES;31464.72;583;237
1203;CONTINENTE;ALENTEJO;ALTO ALENTEJO;PORTALEGRE;AVIS;60596.51;244;75
1204;CONTINENTE;ALENTEJO;ALTO ALENTEJO;PORTALEGRE;CAMPO MAIOR;24720.16;340;173
