company_permalink;company_name;company_category_code;company_country_code;company_state_code;company_region;company_city;acquirer_permalink;acquirer_name;acquirer_category_code;acquirer_country_code;acquirer_state_code;acquirer_region;acquirer_city;price_amount;id
/company/waywire;#waywire;news;USA;NY;New York;New York;/company/magnify;Magnify;games_video;USA;NY;New York;New York;;1
/company/1-nation-technology;1 Nation Technology;;;;unknown;;/company/vology;Vology;other;;;unknown;;;2
/company/1-stop-financial-service-centers-of-america;1 Stop Financial Service Centers of America;;USA;TX;Austin;Round Rock;/company/confie-seguros;Confie Seguros;enterprise;USA;CA;Los Angeles;Buena Park;;3
/company/1-800-contacts-2;1-800 Contacts;;;;unknown;;/company/thomas-h-lee-partners;Thomas H. Lee Partners;;USA;MA;Boston;Boston;;4
/company/1000memories;1000memories;web;USA;CA;SF Bay;San Francisco;/company/ancestry-com;Ancestry;ecommerce;USA;UT;Salt Lake City;Provo;;5
/company/10best;10best;web;USA;SC;Greenville;Greenville;/company/nile-guide;NileGuide;social;USA;CA;SF Bay;San Francisco;;6
/company/10east;10East;network_hosting;USA;FL;Jacksonville;Jacksonville;/company/railcar-management;Railcar Management;enterprise;;;unknown;;;7
/company/10k-wizard;10K Wizard;;;;unknown;;/company/morningstar;Morningstar;software;USA;IL;Chicago;Chicago;;8
/company/123linkit-com;123LinkIt.com;;;;unknown;;/company/netline;NetLine;advertising;USA;CA;SF Bay;Los Gatos;;9
/company/123people;123people;search;AUT;;Vienna;Vienna;/company/pagesjaunes;PagesJaunes;advertising;FRA;;Paris;Sevres;;10
/company/12designer;12designer;public_relations;DEU;;Berlin;Berlin;/company/99designs;99designs;design;USA;CA;SF Bay;San Francisco;;11
/company/12society;12Society;ecommerce;USA;CA;Los Angeles;West Hollywood;/company/quarterly;Quarterly;web;USA;CA;Los Angeles;West Hollywood;;12
/company/1form-com;1Form.com;other;AUS;;Australia - Other;;/company/rea-group;REA Group;news;AUS;;Victoria;Victoria;15000000;13
/company/1st-choice-security-solutions;1st Choice Security Solutions;security;USA;GA;Atlanta;Atlanta;/company/comcam;ComCam;;USA;PA;Philadelphia;West Chester;;14
/company/1vault-networks;1Vault Networks;software;;;unknown;;/company/peak-;Peak ;network_hosting;USA;NC;Charlotte;Charlotte;;15
/company/2020-social;2020 Social;consulting;IND;;New Delhi;New Delhi;/company/publicis-groupe;Publicis Groupe;public_relations;FRA;;Paris;Paris;;16
/company/20-20-media;20:20 Media;;IND;;Noida;Noida;/company/publicis-groupe;Publicis Groupe;public_relations;FRA;;Paris;Paris;;17
/company/21st-century-infra-tele;21st Century Infra Tele;public_relations;IND;;India - Other;;/company/wireless-tt-info-services;Wireless TT Info Services;public_relations;IND;;Hyderabad;Hyderabad;;18
/company/236-com;236.com;web;;;unknown;;/company/huffingtonpost;The Huffington Post;news;USA;NY;New York;New York;;19
