date;open;high;low;close;volume
20020514;29,01;29,29;28,7;29;422606
20020513;28,81;29,15;28,71;28,93;265548
20020510;29,3;29,49;28,38;28,69;497579
20020509;29,26;29,78;28,82;29,01;342824
20020508;28,5;29,8;28,41;29,7;559890
20020507;29,5;29,65;27,85;28,21;716809
20020506;29,4;29,74;29,01;29,01;196019
20020503;29,35;29,7;28,83;29,23;520990
20020502;30,06;30,38;29,22;29,42;456067
20020430;30,25;30,65;29,6;30,4;499916
20020429;29,59;30,54;29,47;30,5;350735
20020426;30,4;30,67;29,65;29,65;677727
20020425;30,55;31,19;29,11;30,61;1358092
20020424;31;31,5;30,08;30,23;960344
20020423;32,3;32,48;31,21;31,22;736359
20020422;32,95;32,95;31,59;32,05;469032
20020419;33,67;33,67;32,26;32,9;657852
20020418;33,8;34,48;32,45;33,5;505319
20020417;33,68;34,28;33,01;33,88;383194
20020416;33,67;33,73;33,33;33,38;350841
20020415;33,9;33,9;33,22;33,7;237563
20020412;33,25;34,25;33,25;33,66;351551
20020411;33,89;34,15;33,21;33,33;353272
20020410;33,06;34,14;33,06;33,8;337708
20020409;33,57;33,57;33;33,24;489001
20020408;34,21;34,31;31,8;33,33;691079
20020405;34,1;34,45;33,84;34,13;469672
20020404;34,05;34,36;33,67;34,25;376338
20020403;34,35;34,57;33,71;34,2;374836
20020402;34,7;34,86;33,89;34,3;449014
20020328;34,25;34,7;33,86;34,38;400977
20020327;33,61;34,38;33,61;33,92;276849
20020326;33,71;34,63;33,55;33,6;466043
20020325;33,76;34,71;33,62;34,08;416687
20020322;34,12;34,5;33,8;34,05;431296
20020319;35,09;35,1;34,01;34,6;384202
20020318;34,92;35,38;34,51;34,9;523978
20020315;34;34,75;33,94;34,75;1559507
20020314;33,9;34,62;33,45;34;436120
20020313;34,31;34,92;34,2;34,2;335880
20020312;34,85;35,22;34,24;34,65;1124030
20020311;35,2;35,58;34,45;34,99;773280
20020308;34,3;35,57;34,3;35,57;687111
20020307;35,02;35,67;34,25;35,01;1368752
20020306;34,25;35;33,83;35;595069
20020305;33,45;34,33;33,4;34,15;479176
20020304;33,04;33,81;32,86;33,77;712688
20020301;32,47;33;32,39;32,85;363446
20020228;32,9;33,02;32,23;33;488120
20020227;33,25;33,25;32,55;32,9;369508
20020226;32,6;33,42;32,25;33;652989
20020225;31,84;32,49;31,73;32,32;457809
20020222;31,3;31,98;31,03;31,8;274794
20020221;31,5;31,98;31,1;31,74;572678
20020220;31,21;31,69;31,1;31,35;561015
20020219;32,61;32,61;31,18;31,4;864886
20020218;32,68;33,2;32,68;32,8;345852
20020215;33,41;33,69;33,05;33,05;365028
20020214;33,4;34;33;33,65;423137
20020213;32,5;33,57;32,15;33,4;509068
20020212;32,39;32,77;32,05;32,05;610401
20020211;32,15;32,15;31,44;32,06;408062
20020208;31,94;32,14;31;31,9;1031834
20020207;32,75;32,75;31,7;32,06;818200
20020206;32,5;33,2;31,85;32,3;696101
20020205;33;33,02;32,3;32,68;1052223
20020204;34,75;34,75;33,17;33,6;884020
20020201;34,5;35;33,99;34,8;577899
20020131;33,7;34,6;33,04;34,1;1228342
20020130;33,99;34,6;33,4;34,2;1081859
20020129;34,25;35;33,8;34,46;914296
20020128;33,25;34,7;33,15;34,02;789572
20020125;32,9;33,53;32,86;33,21;445495
20020124;33,01;33,98;32,83;32,95;782196
20020123;33;33,33;32,15;33,33;948887
